id,name,latitude,longitude,rating,price
1, Gunung Tangkuban Parahu, -6.753405461769751, 107.61059473424386, 4.5, 30000
2, Orchid Forest Cikole, -6.775566092174419, 107.63531397172679, 4.6, 40000
3, Gunung Putri Lembang, -6.795339333539758, 107.63462732624114, 4.6, 20000
4, Lembah Dewata, -6.80488474539483, 107.64355371755443, 4.3, 20000
5, Lembang Park Zoo, -6.799771155483421, 107.59136866064601, 4.7, 65000
6, Dusun Bambu, -6.784770977954961, 107.57866571916173, 4.5, 20000
7, Noah Park, -6.824315890048378, 107.63394068075552, 4.5, 10000
8, The Great Asia Africa, -6.82806566936052, 107.60372827938748, 4.5, 44000
9, Curug Pelangi, -6.793975687799355, 107.57523249173354, 4.7, 20000
10, Grafika Cikole, -6.7802745130678455, 107.65140302561628, 4.5, 15000
